ID;Kname;Kstrasse;KPlz;Kort;Ktyp;Kgruppe;Kart;Latitude;Longitude
10248248;Rewe Koenig oHG;MORGENLANDSTR. 9;92521;SCHWARZENFELD;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.3864792;12.1389969
10129798;Gissler & Pass GmbH;TEICHSTR. 32-36;52428;JUELICH;SONSTIGE KUNDEN;Übrige;Outlet;50.8962102;6.357551
10248200;E Neukauf Jens;BAEDERSTR. 1;18375;BORN;L E H  400 - 799 QM (SM);LEH;Outlet;54.3927324;12.5413169
10099910;E Neukauf Warnken;BAHNHOFSTR. 16;26188;EDEWECHT;KLEINE VM 800 - 1499 QM;LEH;Outlet;53.1274725;7.9802752
10248244;Markant Nah & Frisch Ahrens;LINDENSTR. 10;26655;WESTERSTEDE;L E H  400 - 799 QM (SM);LEH;Outlet;53.2045155;7.8797915
10248251;Edeka Matthiessen GmbH;AM MARKT 7-9;24955;HARRISLEE;KLEINE VM 800 - 1499 QM;LEH;Outlet;54.799593;9.3964589
10247321;Getraenkeland / Fruchtquelle;HERMANN-KOERNER-STR. 53;21465;HAMBURG;GETRAENKEABHOLMARKT;Impuls;Outlet;53.5226827;10.2433371
10105844;E Aktiv Markt Hacker;EBERHARDTSTR. 10;71088;HOLZGERLINGEN;L E H  400 - 799 QM (SM);LEH;Outlet;48.6412819;9.0122128
10189966;Top Kauf Riechert;MARKT 10;23730;NEUSTADT;L E H  400 - 799 QM (SM);LEH;Outlet;54.1075315;10.8136768
10247328;Rewe Nahkauf Pfeiffer;PLATZ DER EINHEIT 1;04668;GRIMMA;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.2184506;12.723868
10100270;E Center Zielke;SCHELLBERGSTR. 9;41469;NEUSS;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.1672246;6.7347001
10099662;E Aktiv Markt Mohr;KALLENFELSER STR. 32;55606;KIRN;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.7924025;7.4546507
10248355;Rewe Bohner oHG;HEINRICH-WICH-STR. 5;90530;WENDELSTEIN;KLEINE VM 800 - 1499 QM;LEH;Outlet;49.3497643;11.1035277
10248356;E Aktiv Markt Till;STUTTGARTER STR. 110;73230;KIRCHHEIM UNTER TECK;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.65435;9.43283
10144413;City Supermarkt Georg;WEIHERSTR. 1;65232;TAUNUSSTEIN;L E H  400 - 799 QM (SM);LEH;Outlet;50.1558725;8.1856218
10139499;E Aktiv Markt Georg;CAMP-KING-ALLEE;61440;OBERURSEL;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.2162266;8.5537407
10155634;E Aktiv Markt Georg;FRANKFURTER STR. 86;65520;BAD CAMBERG;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.2924617;8.2715418
10248204;Minipreis-Laeden GmbH;HAMMER STR. 58;59269;BECKUM;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.7520285;8.0268647
